"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Projects\NextJS\bimformative\app\components\LatestBlogs.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, -1
"c:\Projects\NextJS\bimformative\app\components\LikeButton.tsx", "TypeScript JSX", 46, 0, 0, 4, 7, 57
"c:\Projects\NextJS\bimformative\app\components\Navbar.tsx", "TypeScript JSX", -74, 0, 0, -69, 2, -141
"c:\Projects\NextJS\bimformative\app\components\NewsletterSignup.tsx", "TypeScript JSX", -2, 0, 0, 0, -1, -3
"c:\Projects\NextJS\bimformative\app\components\ResourceHighlights.tsx", "TypeScript JSX", -6, 0, 0, 9, 2, 5
"c:\Projects\NextJS\bimformative\app\components\Roadmap.tsx", "TypeScript JSX", -55, 0, 0, 0, -1, -56
"c:\Projects\NextJS\bimformative\app\components\RoadmapList.tsx", "TypeScript JSX", 32, 0, 0, 0, 2, 34
"c:\Projects\NextJS\bimformative\app\components\UploadDialog.tsx", "TypeScript JSX", -11, 0, 0, 6, -5, -10
"c:\Projects\NextJS\bimformative\app\components\UploadVersion.tsx", "TypeScript JSX", 136, 0, 0, 3, 16, 155
"c:\Projects\NextJS\bimformative\app\components\UserActionMenu.tsx", "TypeScript JSX", 21, 0, 0, 0, 5, 26
"c:\Projects\NextJS\bimformative\app\components\UserMenu.tsx", "TypeScript JSX", -4, 0, 0, 0, -1, -5
"c:\Projects\NextJS\bimformative\app\components\navbar\NavbarClient.tsx", "TypeScript JSX", 125, 0, 0, 2, 13, 140
"c:\Projects\NextJS\bimformative\app\components\navbar\navigation.config.ts", "TypeScript", 0, 18, 0, 0, 0, 18
"c:\Projects\NextJS\bimformative\app\components\scripts\ClientVersionSheet.tsx", "TypeScript JSX", 17, 0, 0, 0, 1, 18
"c:\Projects\NextJS\bimformative\app\components\scripts\CompareVersionDialog.tsx", "TypeScript JSX", -6, 0, 0, 0, 0, -6
"c:\Projects\NextJS\bimformative\app\components\scripts\EditDialog.tsx", "TypeScript JSX", -14, 0, 0, 14, 5, 5
"c:\Projects\NextJS\bimformative\app\components\scripts\UpdateDialog.tsx", "TypeScript JSX", -15, 0, 0, 1, -2, -16
"c:\Projects\NextJS\bimformative\app\components\scripts\VersionActionMenu.tsx", "TypeScript JSX", -12, 0, 0, 0, -4, -16
"c:\Projects\NextJS\bimformative\app\components\scripts\version-columns.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 2
"c:\Projects\NextJS\bimformative\app\components\scripts\version-sheet-content.tsx", "TypeScript JSX", -4, 0, 0, 0, -2, -6
"c:\Projects\NextJS\bimformative\app\components\scripts\version-table.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"c:\Projects\NextJS\bimformative\app\components\svg\ScriptViewCanvas.tsx", "TypeScript JSX", -6, 0, 0, -6, 6, -6
"c:\Projects\NextJS\bimformative\app\dashboard\page.tsx", "TypeScript JSX", -11, 0, 0, 0, 3, -8
"c:\Projects\NextJS\bimformative\app\dashboard\usercolumns.tsx", "TypeScript JSX", -13, 0, 0, -1, -1, -15
"c:\Projects\NextJS\bimformative\app\layout.tsx", "TypeScript JSX", -3, 0, 0, 0, 1, -2
"c:\Projects\NextJS\bimformative\app\lib\api.ts", "TypeScript", 0, -155, 0, 0, -23, -178
"c:\Projects\NextJS\bimformative\app\lib\blog.ts", "TypeScript", 0, -16, 0, 0, -3, -19
"c:\Projects\NextJS\bimformative\app\lib\interface.ts", "TypeScript", 0, 42, 0, 0, 4, 46
"c:\Projects\NextJS\bimformative\app\lib\sanityQueries.ts", "TypeScript", 0, -4, 0, 0, -1, -5
"c:\Projects\NextJS\bimformative\app\page.tsx", "TypeScript JSX", -3, 0, 0, 0, 0, -3
"c:\Projects\NextJS\bimformative\app\resources\dynamo-scripts\[slug]\page.tsx", "TypeScript JSX", -23, 0, 0, 0, -6, -29
"c:\Projects\NextJS\bimformative\app\resources\dynamo-scripts\by-id\page.tsx", "TypeScript JSX", -208, 0, 0, -4, -14, -226
"c:\Projects\NextJS\bimformative\app\resources\dynamo-scripts\columns.tsx", "TypeScript JSX", -9, 0, 0, -1, -4, -14
"c:\Projects\NextJS\bimformative\app\resources\dynamo-scripts\page.tsx", "TypeScript JSX", 4, 0, 0, -1, 4, 7
"c:\Projects\NextJS\bimformative\app\scriptcompare\page.tsx", "TypeScript JSX", -147, 0, 0, -5, -24, -176
"c:\Projects\NextJS\bimformative\app\search\page.tsx", "TypeScript JSX", -3, 0, 0, 1, 0, -2
"c:\Projects\NextJS\bimformative\app\sitemap.ts", "TypeScript", 0, -1, 0, 0, 1, 0
"c:\Projects\NextJS\bimformative\app\tools\dynanalyzer\page.tsx", "TypeScript JSX", 157, 0, 0, 0, 14, 171
"c:\Projects\NextJS\bimformative\app\tools\scriptcompare\page.tsx", "TypeScript JSX", 261, 0, 0, 9, 40, 310
"c:\Projects\NextJS\bimformative\app\upload\page.tsx", "TypeScript JSX", -163, 0, 0, 0, -16, -179
"c:\Projects\NextJS\bimformative\components\ui\code-comparison.tsx", "TypeScript JSX", -147, 0, 0, -1, -11, -159
"c:\Projects\NextJS\bimformative\components\ui\magicui\aurora-text.tsx", "TypeScript JSX", 38, 0, 0, 0, 6, 44
"c:\Projects\NextJS\bimformative\components\ui\magicui\number-ticker.tsx", "TypeScript JSX", 60, 0, 0, 0, 9, 69
"c:\Projects\NextJS\bimformative\components\ui\magicui\shine-border.tsx", "TypeScript JSX", 42, 0, 0, 17, 5, 64
"c:\Projects\NextJS\bimformative\components\ui\magicui\text-reveal.tsx", "TypeScript JSX", 62, 0, 0, 0, 10, 72
"c:\Projects\NextJS\bimformative\hooks\use-toast.ts", "TypeScript", 0, -160, 0, -3, -32, -195
"c:\Projects\NextJS\bimformative\lib\openapi\base.ts", "TypeScript", 0, 22, 0, 0, 1, 23
"c:\Projects\NextJS\bimformative\lib\openapi\index.ts", "TypeScript", 0, 15, 0, 0, 1, 16
"c:\Projects\NextJS\bimformative\lib\openapi\paths.ts", "TypeScript", 0, 26, 0, 0, 0, 26
"c:\Projects\NextJS\bimformative\lib\openapi\schemas.ts", "TypeScript", 0, 19, 0, 0, 2, 21
"c:\Projects\NextJS\bimformative\lib\services\comments.select.ts", "TypeScript", 0, 12, 0, 0, 0, 12
"c:\Projects\NextJS\bimformative\lib\services\comments.service.ts", "TypeScript", 0, 52, 0, 0, 19, 71
"c:\Projects\NextJS\bimformative\lib\services\contact.service.ts", "TypeScript", 0, 72, 0, 4, 11, 87
"c:\Projects\NextJS\bimformative\lib\services\dynalyzer.service.ts", "TypeScript", 0, 32, 0, 2, 9, 43
"c:\Projects\NextJS\bimformative\lib\services\kit.service.ts", "TypeScript", 0, 39, 0, 2, 9, 50
"c:\Projects\NextJS\bimformative\lib\services\likes.service.ts", "TypeScript", 0, 29, 0, 3, 8, 40
"c:\Projects\NextJS\bimformative\lib\services\profile.select.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"c:\Projects\NextJS\bimformative\lib\services\profiles.service.ts", "TypeScript", 0, 12, 0, 0, 3, 15
"c:\Projects\NextJS\bimformative\lib\services\sanity.service.ts", "TypeScript", 0, 233, 0, 8, 27, 268
"c:\Projects\NextJS\bimformative\lib\services\scripts.select.ts", "TypeScript", 0, 59, 0, 2, 6, 67
"c:\Projects\NextJS\bimformative\lib\services\scripts.service.ts", "TypeScript", 0, 509, 0, 57, 160, 726
"c:\Projects\NextJS\bimformative\lib\services\security.service.ts", "TypeScript", 0, 30, 0, 0, 8, 38
"c:\Projects\NextJS\bimformative\lib\services\versions.select.ts", "TypeScript", 0, 9, 0, 0, 0, 9
"c:\Projects\NextJS\bimformative\lib\services\versions.service.ts", "TypeScript", 0, 183, 0, 30, 67, 280
"c:\Projects\NextJS\bimformative\lib\supabase\storage.ts", "TypeScript", 0, 15, 0, 0, 1, 16
"c:\Projects\NextJS\bimformative\lib\types\comment.ts", "TypeScript", 0, 12, 0, 0, 0, 12
"c:\Projects\NextJS\bimformative\lib\types\contact.ts", "TypeScript", 0, 8, 0, 0, 0, 8
"c:\Projects\NextJS\bimformative\lib\types\kit.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\Projects\NextJS\bimformative\lib\types\resources.ts", "TypeScript", 0, 16, 0, 0, 1, 17
"c:\Projects\NextJS\bimformative\lib\types\script.ts", "TypeScript", 0, 92, 0, 0, 10, 102
"c:\Projects\NextJS\bimformative\lib\types\version.ts", "TypeScript", 0, 9, 0, 0, 0, 9
"c:\Projects\NextJS\bimformative\lib\utils.ts", "TypeScript", 0, 22, 0, 4, 6, 32
"c:\Projects\NextJS\bimformative\middleware.ts", "TypeScript", 0, 12, 0, -1, 7, 18
"c:\Projects\NextJS\bimformative\package-lock.json", "JSON", 0, 0, 1277, 0, 0, 1277
"c:\Projects\NextJS\bimformative\package.json", "JSON", 0, 0, 3, 0, 0, 3
"c:\Projects\NextJS\bimformative\sanity\schemaTypes\youTubeType\YouTubePreview.tsx", "TypeScript JSX", 21, 0, 0, 1, 4, 26
"c:\Projects\NextJS\bimformative\sanity\schemaTypes\youTubeType\index.ts", "TypeScript", 0, -5, 0, 0, 0, -5
"Total", "-", -432, 51, 1280, -3, 84, 980
